Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000423	10	5	5	8	8	5
(null)	OG0000424	5	9	9	7	3	8
(null)	OG0000425	1	2	6	13	12	7
(null)	OG0000426	17	8	3	5	4	4
(null)	OG0000427	5	7	10	8	6	5
(null)	OG0000428	4	5	7	5	6	14
(null)	OG0000429	0	1	4	3	6	27
(null)	OG0000430	0	1	1	19	20	0
(null)	OG0000431	5	5	10	4	5	11
(null)	OG0000432	38	0	0	0	2	0
(null)	OG0000433	29	0	6	3	1	1
(null)	OG0000434	19	5	7	4	3	2
(null)	OG0000435	21	5	3	4	5	2
(null)	OG0000436	4	11	8	4	4	9
(null)	OG0000437	3	11	6	6	8	6
(null)	OG0000438	3	4	3	3	7	20
(null)	OG0000439	8	5	4	3	12	8
(null)	OG0000440	6	7	7	5	9	6
(null)	OG0000441	1	1	13	2	2	21
(null)	OG0000442	0	15	5	2	15	3
(null)	OG0000443	0	10	16	1	1	12
(null)	OG0000444	39	0	0	0	0	0
(null)	OG0000445	34	1	3	0	0	1
(null)	OG0000446	16	5	9	1	7	1
(null)	OG0000447	19	3	5	5	2	5
(null)	OG0000448	12	0	1	7	6	13
(null)	OG0000449	2	11	6	9	4	7
(null)	OG0000450	11	5	6	12	2	3
(null)	OG0000451	6	10	1	2	14	6
(null)	OG0000452	17	2	11	1	2	6
(null)	OG0000453	4	3	3	4	6	19
(null)	OG0000454	20	4	3	1	5	6
(null)	OG0000455	1	1	26	1	1	9
(null)	OG0000456	2	5	15	4	4	9
(null)	OG0000457	1	7	2	7	15	7
(null)	OG0000458	4	14	9	3	3	6
(null)	OG0000459	0	4	12	12	4	7
(null)	OG0000460	0	25	10	2	1	1
(null)	OG0000461	0	1	0	2	36	0
(null)	OG0000462	0	0	6	0	0	33
(null)	OG0000463	6	5	9	10	2	6
(null)	OG0000464	3	16	6	3	3	7
(null)	OG0000465	31	1	2	0	1	3
(null)	OG0000466	13	2	3	2	15	3
(null)	OG0000467	38	0	0	0	0	0
(null)	OG0000468	20	7	2	1	3	5
(null)	OG0000469	11	7	10	3	2	5
(null)	OG0000470	1	27	2	1	2	5
(null)	OG0000471	2	5	10	3	7	11
(null)	OG0000472	1	15	18	1	1	2
(null)	OG0000473	1	10	2	3	11	11
(null)	OG0000474	1	14	11	1	1	10
(null)	OG0000475	1	7	15	1	1	13
(null)	OG0000476	1	5	5	6	11	10
(null)	OG0000477	1	20	6	1	1	9
(null)	OG0000478	0	5	10	4	8	11
(null)	OG0000479	0	4	5	12	2	15
(null)	OG0000480	0	17	8	1	6	6
(null)	OG0000481	0	4	5	12	6	11
(null)	OG0000482	7	7	4	6	3	10
(null)	OG0000483	10	9	5	3	6	4
(null)	OG0000484	13	1	0	6	15	2
(null)	OG0000485	4	9	9	5	4	6
(null)	OG0000486	7	3	2	6	2	17
(null)	OG0000487	1	21	6	1	3	5
(null)	OG0000488	16	0	0	0	21	0
(null)	OG0000489	4	8	11	2	3	9
(null)	OG0000490	2	13	9	2	3	8
(null)	OG0000491	11	8	7	2	5	4
(null)	OG0000492	1	11	13	1	1	10
(null)	OG0000493	7	6	7	3	4	10
(null)	OG0000494	2	5	11	3	3	13
(null)	OG0000495	1	5	18	1	1	11
(null)	OG0000496	0	5	9	3	16	4
(null)	OG0000497	0	6	7	6	4	14
(null)	OG0000498	0	10	7	1	2	17
(null)	OG0000499	0	4	22	4	4	3
(null)	OG0000500	0	9	3	14	2	9
(null)	OG0000501	0	0	0	0	37	0
(null)	OG0000502	9	12	3	3	4	5
(null)	OG0000503	24	2	1	1	6	2
(null)	OG0000504	5	6	3	5	3	14
(null)	OG0000505	12	6	5	3	4	6
(null)	OG0000506	3	4	12	4	6	7
(null)	OG0000507	11	2	7	3	3	10
(null)	OG0000508	10	5	5	5	4	7
(null)	OG0000509	3	6	12	4	4	7
(null)	OG0000510	1	12	14	1	1	7
(null)	OG0000511	1	7	7	6	10	5
(null)	OG0000512	4	5	5	2	3	17
(null)	OG0000513	1	14	7	1	2	11
(null)	OG0000514	1	6	17	1	1	10
(null)	OG0000515	3	6	11	3	7	6
(null)	OG0000516	1	27	4	1	2	1
(null)	OG0000517	1	22	3	1	1	8
(null)	OG0000518	1	7	13	1	1	13
(null)	OG0000519	1	9	2	3	9	12
(null)	OG0000520	1	11	12	1	1	10
(null)	OG0000521	0	6	6	4	8	12
(null)	OG0000522	0	7	6	7	8	8
(null)	OG0000523	0	3	0	10	3	20
(null)	OG0000524	0	5	27	0	0	4
(null)	OG0000525	0	0	30	0	5	1
(null)	OG0000526	12	4	4	5	7	3
(null)	OG0000527	20	2	2	4	5	2
(null)	OG0000528	34	0	0	0	1	0
(null)	OG0000529	12	1	7	2	10	3
(null)	OG0000530	1	5	7	2	3	17
(null)	OG0000531	1	5	11	4	3	11
(null)	OG0000532	2	8	5	8	5	7
(null)	OG0000533	9	4	6	7	7	2
(null)	OG0000534	2	7	8	7	5	6
(null)	OG0000535	1	4	13	1	1	15
(null)	OG0000536	1	1	11	1	1	20
(null)	OG0000537	1	14	6	1	1	12
(null)	OG0000538	8	3	8	5	3	8
(null)	OG0000539	1	14	7	0	1	12
(null)	OG0000540	1	7	13	1	1	12
(null)	OG0000541	0	2	11	0	9	13
(null)	OG0000542	0	0	4	17	7	7
