FamilyID	Hleu<1>	Mglob<2>	Pliv<3>	Spurp_prefixed<4>	Lvar<5>	Lpic<6>	<7>	<8>	<9>	<10>	<11>
OG0000078	0.113082	6.70084e-05	1.15564e-47	0.00233496	0.00343545	0.0331965	N/A	0.0537604	0.00603072	0.0114724	3.25013e-09
OG0000080	0.0141522	0.000543945	0.0319166	0.00151156	5.41528e-09	0.000465071	N/A	0.0180111	0.00425629	0.0936788	0.816701
OG0000083	0.789292	0.00598397	1.06345e-35	0.205972	0.485716	0.801676	N/A	0.947235	0.105056	3.20095e-06	0.241895
OG0000084	0.01364	4.99314e-05	0.00118263	0.0753581	0.0761044	0.0468835	N/A	0.0355572	0.299904	0.469595	0.790572
OG0000086	0.0416695	1.52466e-05	0.118768	1.09243e-12	0.00146989	2.73195e-10	N/A	0.129631	0.323339	0.00305418	0.777439
OG0000087	0.364806	0.573309	0.0118222	1.27302e-06	0.0200226	0.300069	N/A	0.323199	0.404208	0.0348706	0.802044
OG0000089	0.963669	0.113912	0.928538	0.00584003	0.0199839	0.89588	N/A	0.865524	0.634026	0.654442	0.224213
OG0000090	0.814804	0.13023	0.0936669	4.72673e-09	1.5901e-05	0.904209	N/A	0.953684	0.404208	0.878304	0.0169209
OG0000091	0.451596	0.469147	0.781178	0.0104278	0.492793	0.00764919	N/A	0.620963	0.860853	0.874256	0.433359
OG0000093	0.541782	0.215893	0.0580186	0.00800693	1.76439e-06	9.88987e-06	N/A	0.304952	0.389982	0.00748032	0.802044
OG0000094	1.66149e-09	0.0379865	5.57346e-06	0.61513	0.138502	0.593963	N/A	1.51664e-06	0.764321	2.00154e-06	0.528799
OG0000095	0.828638	0.00276159	2.78256e-05	3.66927e-07	1.4885e-18	2.08882e-13	N/A	0.789625	0.107665	2.20006e-10	0.807242
OG0000096	1.25158e-06	0.270679	5.59369e-05	0.744964	0.662333	0.244394	N/A	0.000213976	0.523324	1.73601e-06	0.119507
OG0000097	0.295454	0.000148503	0.00346834	8.10136e-06	0.478224	1.33296e-06	N/A	0.463807	0.126776	0.874256	0.0449214
OG0000099	0.339641	0.00636321	0.000154307	0.919735	1.42942e-11	0.758311	N/A	0.101211	0.0893245	1.1972e-11	0.000593771
OG0000100	0.112466	2.77946e-08	6.20921e-16	0.330004	0.426448	0.273196	N/A	0.258235	0.0941646	0.24536	0.724544
OG0000101	0.103798	0.808904	0.928538	5.73585e-08	0.89588	0.0111325	N/A	0.0883045	0.404208	0.457205	0.45923
OG0000103	0.303431	0.548089	0.0509816	3.96918e-05	0.551406	0.198061	N/A	0.204582	0.374857	0.00615356	0.796498
OG0000104	0.165331	0.0598688	0.00375479	1.00381e-15	0.00616944	0.32635	N/A	0.118331	0.601712	0.156393	0.0449214
OG0000105	5.08764e-09	0.0611409	0.230456	8.89674e-07	0.750589	8.8186e-05	N/A	6.78692e-07	0.720163	0.743034	0.185213
OG0000106	0.000212697	0.0197191	0.0147112	0.00165274	0.00241039	0.159217	N/A	0.00579645	0.828341	0.211505	0.00142895
OG0000107	0.0416695	0.00598397	0.475203	0.280887	0.0876936	0.341944	N/A	0.196122	0.341615	0.143941	0.762329
OG0000108	0.346065	0.229934	0.420029	0.0147059	0.0199839	8.64263e-07	N/A	0.244772	0.404208	0.457205	0.45923
OG0000109	0.101045	0.0197191	0.145263	0.000403166	0.7273	0.300069	N/A	0.134924	0.0420469	0.000180784	0.802044
OG0000112	7.50306e-07	0.735797	0.00174612	0.289932	0.00780732	0.662333	N/A	8.91243e-05	0.477891	4.74707e-06	0.555133
OG0000113	0.505289	0.170064	0.475203	0.56873	2.76417e-08	0.0131257	N/A	0.410409	0.341615	0.0189498	0.234978
OG0000115	3.13444e-10	0.386647	0.386444	0.0127289	0.244394	0.0981503	N/A	1.05356e-07	0.0144714	0.631513	0.555133
OG0000116	0.303431	0.185958	0.111057	9.92372e-10	0.119143	0.309748	N/A	0.332353	0.115944	0.86977	0.0406125
OG0000118	0.00179571	0.364958	0.0153739	0.00714698	0.596054	0.23165	N/A	0.0226716	0.523324	0.827431	0.700823
OG0000120	0.946002	0.00444002	0.418966	0.114386	1.91519e-26	7.02233e-12	N/A	0.802225	0.125882	0.00987562	0.753914
OG0000122	2.93631e-08	0.0611409	0.593288	0.0715932	0.779378	6.62529e-06	N/A	4.16748e-06	0.720163	0.743034	0.621578
OG0000123	5.07336e-07	0.00117617	0.386444	0.5	0.5	0.5	N/A	8.91243e-05	9.29227e-08	0.00438684	0.5
