TID	tubefeet3_kq	spine1_kq	ovary3_kq	gut1_kq
MGLB00109.33	1.10518e-07	8.70973e-11	0.000143296	2.38199
MGLB00109.34	1.86961e-06	0.0	0.00176006	1.08221e-07
MGLB00109.36	0.0	0.0	1.0558e-07	4.54355e-10
MGLB00109.37	2.88197e-10	1.00489	7.32695e-07	1.3522e-09
MGLB00109.38	3.50832e-06	0.0	0.00307567	0.000176855
MGLB00109.39	3.18374e-05	0.708951	0.0217456	0.000118328
MGLB00109.4	0.0	0.0	0.0	0.0
MGLB00109.40	0.00102717	9.47286e-08	0.473502	7.53304e-09
MGLB00109.41	0.0	6.4486e-07	0.0	0.0
MGLB00109.5	0.0	0.000298937	0.0	2.23448e-10
MGLB00109.6	0.00426596	0.00353579	0.0	2.90155e-08
MGLB00109.7	0.0	0.0	0.0	0.0
MGLB00109.8	5.94279e-07	0.0	0.0	0.0
MGLB00109.9	0.0	0.0	5.06446e-09	0.0
MGLB00105.1	44.7062	85.6192	7.28386	142.821
MGLB00105.2	0.0	0.0	0.0	30.9103
MGLB00094.1	3.48118	4.48404	17.8583	6.59529
MGLB00095.2	0.124496	3.1504	0.120015	1.29025
MGLB00095.3	0.124496	1.76805e-06	0.120015	1.29025
MGLB00095.4	0.245818	0.0468597	0.00936996	0.0
MGLB00095.1	0.0	0.0	0.0	0.0
MGLB00110.1	0.0	0.0	0.0	0.0
MGLB00104.1	1.69042	0.216658	13.8455	0.2932
MGLB00097.2	0.298367	1.24411	0.161557	0.0
MGLB00097.3	1.00064	0.0	1.25074	0.0941726
MGLB00097.1	7.57741	8.76046	0.607164	5.25651
MGLB00101.1	5.27801	13.4567	2.87942	17.2592
MGLB00098.1	0.365664	0.0789682	0.0	0.718856
MGLB00092.2	5.22779	22.6896	3.3993	189.372
MGLB00092.1	24.0033	34.2157	19.4565	118.076
MGLB00093.3	6.60885	11.8058	0.0	17.6157
MGLB00093.1	0.0	0.0	2.76e-10	5.49437e-08
MGLB00093.2	0.0	5.68632	1.38715	4.9818
MGLB00093.4	4.62384e-08	0.0	0.0	0.0
MGLB00099.1	8.7685	12.8603	0.0	11.6371
MGLB00107.1	17.6143	34.0782	5.46431	40.4748
MGLB00112.1	0.626743	0.456752	0.000281577	1.68579
MGLB00112.2	7.4444	18.2031	1.41527	39.0578
MGLB00114.1	329.438	371.965	201.21	396.906
MGLB00111.1	1.75165	2.4257	0.0	2.28401
MGLB00113.1	0.0	0.0	0.0	0.0
MGLB00116.1	0.0	0.0	0.0	0.0
MGLB00115.1	0.0	0.0	0.0343502	0.805365
MGLB00115.2	0.0	0.0	0.0	0.0
MGLB00115.3	10.453	11.1306	3.37933	11.2726
MGLB00115.4	0.0	0.0	0.0	0.0
MGLB00120.1	5.73852	8.92666	5.56913	22.47
MGLB00118.1	1.64257	3.0471	1.90657	5.16872
MGLB00117.1	0.0	0.859573	1.6433	6.95112
MGLB00119.1	2.15296	0.0	0.0	0.0
MGLB00123.1	15.0248	105.704	1.83148	16.4766
MGLB00122.1	0.620837	3.01629	0.0	0.216663
MGLB00121.1	0.0	43.2099	0.0	0.0
MGLB00126.1	0.178703	0.0973885	1.34655	0.539416
MGLB00124.1	0.0	0.0	0.0	0.0
MGLB00125.1	1.94187	1.91681	0.0	0.294702
MGLB00128.1	0.0	0.0	0.0	0.0
MGLB00127.1	0.0	0.0	0.0	0.0
MGLB00129.1	0.0	5.08679	0.0	11.9617
MGLB00129.2	0.0	0.0	0.0	0.0
MGLB00132.1	0.0	2.63628	0.0	1.54411
MGLB00133.1	0.0	1.23636	0.0	0.188753
MGLB00137.1	0.0	0.0	0.0	0.0
MGLB00138.1	0.353293	0.0	0.0	0.0
MGLB00136.1	0.0	0.0821689	0.0	0.0
MGLB00131.1	0.0	7.31669	0.218313	3.20433
MGLB00130.1	0.433372	3.77991	0.0	0.73585
MGLB00134.1	0.0	0.0650713	0.0	0.997418
MGLB00135.1	0.0	2.30282	0.0	0.0
MGLB00140.1	0.0	0.0	0.0	0.0
MGLB00139.1	0.0	1.08193	0.0	0.0
MGLB00141.1	0.0	0.435288	0.0	1.17791
MGLB00143.1	0.0	0.0	0.0	26.7852
MGLB00142.1	0.0	22.0519	0.0720898	64.8156
MGLB00144.1	2.85732	15.1696	0.481896	14.4439
MGLB00145.1	0.0	8.81364	0.0	5.29953
MGLB00145.2	0.0434276	54.778	0.0	11.6813
MGLB00146.1	0.0	0.0	0.974258	0.0
MGLB00148.1	0.0	0.0	0.0	0.0
MGLB00147.1	0.95574	0.802572	0.0	0.52687
MGLB00149.1	0.0	0.0	0.0	3.93726
MGLB00152.1	1.18499	1.91963	0.322219	2.28439
MGLB00151.1	0.0	0.0	0.0	0.0
MGLB00150.1	0.0	0.0	0.0	0.0
MGLB00153.1	36.6667	114.136	3.73388	4.81218
MGLB00154.1	1.89903	12.6547	0.0	11.9467
MGLB00155.1	0.497472	0.850969	1.45825	0.0
MGLB00163.1	1.11932	2.09884	0.363794	5.42569
MGLB00157.1	0.972734	0.199919	0.38987	0.498834
MGLB00159.1	2.51479	14.0387	2.09145	12.6622
MGLB00156.1	0.382564	2.16947	0.0	3.95859
MGLB00166.1	2.19572	2.30418	1.74122	2.78614
MGLB00165.1	0.0	0.0	0.0	0.0
MGLB00161.1	2.13647	2.57088	0.202338	3.23314
MGLB00160.1	16.2235	12.1352	0.468012	6.28326
MGLB00164.1	1.62991	0.998475	0.0	1.82973
MGLB00158.1	0.0	4.40662	0.0	0.462837
MGLB00162.1	2.59725	4.2492	0.806541	9.47194
MGLB00172.1	37.3117	47.982	6.07248	174.011
MGLB00174.1	0.0	0.0	0.0	0.38423
MGLB00167.1	0.0	0.0	0.0	0.0
MGLB00168.1	0.0	0.187395	0.0	0.765013
MGLB00171.1	0.0	1.98943	1.72027	0.0
MGLB00173.1	0.0	1.32357	0.0	3.65631
MGLB00169.1	0.0	0.0	0.0	0.0
MGLB00170.1	0.0	0.0	0.0	0.0
MGLB00176.1	0.0	0.0	0.0	0.0
MGLB00178.1	0.0	0.0	0.0	0.0
MGLB00175.1	0.0	0.0	0.0	0.0
MGLB00177.1	0.952192	0.583241	0.0	0.0900404
MGLB00179.1	7.89417	1.59103	0.0	0.422432
MGLB00184.1	0.0	0.0	0.0	0.0
MGLB00185.1	0.0	0.128002	0.0	0.0
MGLB00183.1	0.0	0.0	0.0	0.0
MGLB00180.1	0.0	0.0	0.0	0.0
MGLB00182.1	0.0	0.0	0.0	0.0
MGLB00181.1	0.0	0.0	0.0	0.0
MGLB00220.1	3.31473	4.8414	0.106503	2.34215
MGLB00210.1	0.109859	0.773635	0.0	0.342001
MGLB00186.1	0.351723	1.73197	0.0	0.442579
MGLB00213.1	0.0	1.12552	0.0	1.43215
MGLB00190.1	0.0	0.0	0.0	0.0
MGLB00197.1	0.0	0.767942	0.0	1.06285
MGLB00197.2	0.0	0.0	0.0	0.0
MGLB00219.1	0.0	1.56459	0.90134	1.89553
MGLB00206.1	1.21092	0.500486	0.0	2.05114
MGLB00217.1	0.625471	1.53958	0.782977	3.51768
MGLB00208.5	0.0	0.0	0.0	2.68964
MGLB00208.2	16.0715	13.4648	0.673945	10.3482
MGLB00208.4	2.36859	0.764357	0.0	1.14337
MGLB00208.1	1.43744	6.71013	0.0	6.73004
MGLB00208.3	18.1523	14.8548	0.0316817	11.5019
MGLB00202.1	0.0	1.56931	0.0	13.4738
MGLB00192.1	0.0	2.03377	0.0	1.39529
MGLB00194.1	4.4239e-08	5.81756e-09	3.25816e-09	3.35857e-09
MGLB00194.2	6.60407	1.62262	0.0653033	0.324287
MGLB00198.1	5.42903	14.9093	0.0	17.9986
MGLB00212.1	0.0	0.356864	0.0	0.172163
MGLB00188.1	6.03338	27.5251	1.10517	13.1892
MGLB00215.1	0.429397	1.11119	0.0	1.63716
MGLB00205.3	0.0	0.256551	0.0	0.0
MGLB00205.1	0.0	0.0	0.0	1.45232
MGLB00205.2	6.08979	10.4455	1.79935	13.8803
MGLB00199.1	0.0	0.0	0.0	0.0
MGLB00193.1	0.0	0.0	0.0	0.0
MGLB00187.1	1.06816	4.07682	0.629284	4.50748
MGLB00209.1	0.0	0.0	0.0	0.43592
MGLB00214.1	0.40275	1.53903	0.438705	2.43634
MGLB00218.1	0.273384	3.07449	0.243595	3.02887
MGLB00195.1	0.176155	2.46704	1.30616	5.08903
MGLB00203.1	0.0	0.0	1.74653	27.1756
MGLB00201.1	0.0	0.0	0.0	136.457
MGLB00204.1	0.0	0.0	0.0	115.943
MGLB00211.1	0.0	0.0	0.0	90.9713
MGLB00216.1	0.0	0.0	0.0	4.08506
MGLB00196.2	0.615934	0.515506	0.0	0.365363
MGLB00196.1	10.333	19.2634	3.84729	19.3046
MGLB00191.2	0.352523	0.257333	0.0	0.0
MGLB00191.3	0.0	0.0	0.0	0.0
MGLB00191.1	0.0	2.68774	0.165933	1.85478
MGLB00189.2	3.56229	6.83524	0.22766	127.908
MGLB00189.1	3.76378	10.5886	0.625653	258.003
MGLB00207.1	0.249125	0.575762	0.44965	20.0581
MGLB00200.1	0.0	0.246444	4.09284	0.679089
MGLB00227.1	0.0	0.68389	0.0	0.678237
MGLB00221.1	0.0	0.0	0.0	0.217973
MGLB00223.1	0.0	1.63344	2.07319	1.6618
MGLB00226.1	0.0	0.0	0.0	0.0
MGLB00222.1	0.0	1.26668	0.0	0.0
MGLB00228.1	0.0	0.653113	0.0	0.0
MGLB00225.1	0.0	0.0	0.0	0.0
MGLB00224.1	1.50079	0.0	0.0	0.0
MGLB00385.1	4.95079	8.5491	3.74048	62.9202
MGLB01183.1	5.69313	9.97509	0.0	5.45687
MGLB01183.2	11.4897	17.6434	2.4291	17.6712
MGLB01193.1	3.34696	6.20938	0.716132	40.8434
MGLB00984.1	0.164285	0.00117231	0.0	0.236313
MGLB00984.2	0.164285	2.22245	0.0	3.30819
MGLB00984.3	0.164285	0.00117231	0.40598	0.236313
MGLB00984.4	0.164285	0.00117231	0.0	0.0
MGLB00984.5	0.164285	0.00117231	0.0	0.000143997
MGLB00476.1	192.843	523.284	7.65042	254.56
MGLB01075.1	0.0	0.0	0.0	0.0
MGLB01075.2	0.0	0.0	0.0	0.0
MGLB01075.4	0.0	0.0	0.0	0.0
MGLB01075.5	0.0	0.89426	0.0	3.09268
MGLB01075.7	0.0	0.812879	0.0	0.0
MGLB01075.6	0.0	0.0	0.0	0.0
MGLB01075.3	0.19115	0.0	0.0	0.0
MGLB00577.1	0.0	0.41806	0.0	0.0
MGLB00966.1	4.25095	8.15945	1.50281	12.1753
MGLB00680.1	2.70582	6.6481	1.39215	14.3953
MGLB00680.3	0.0	0.614733	0.0	0.57844
MGLB00680.2	1.4134	1.82995	0.509327	15.3181
